Ann‚e faits;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2017;1/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.2ø;L‚on Houyouxlaan, 2 1160 AUDERGHEM
2017;1/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.3ø;Avenue de l'Eglise St-Julien, 25 1160 AUDERGHEM
2017;2/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue du Docteur, 67 1160 AUDERGHEM
2017;2/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Dokterstraat, 67 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;Code de la route;70.2.1.1ø;Avenue des Volontaires, 101 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre, 1604 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Waverse steenweg, 1468 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Waverse steenweg, 1468 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre, 1468 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre, 1468 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Place Thomas Balis, F 4 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Rue Gustave Jean Leclercq, 23 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Chauss‚e de Watermael, 53 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 60 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F 1850 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F1850  1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F 1850 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 149 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 147A 1160 AUDERGHEM
2017;3/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Rue Edouard Henrard, 2 1160 AUDERGHEM
2017;3/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.4;Driebruggenstraat, 24 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue Emile Idiers, 14 , 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.5ø;Rue Emile Idiers, 14 , 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Place Thomas Balis, 3 , 1160 AUDERGHEM
2017;4/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Thomas Balisplein, 3 , 1160 OUDERGEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;All‚e des Colzas, 71 1160 AUDERGHEM
2017;4/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1.4ø;Watermaalse Steenweg, 53 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.7ø;Chauss‚e de Watermael,  1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 56 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 66 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.7ø;Avenue du Paepedelle,  1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Rue Jules-Emile Raymond, 8 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Rue Gustave Jean Leclercq, 10 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Rue Valduc, 280 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;All‚e des Colzas, 64 1160 AUDERGHEM
2017;4/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue Charles Madoux, 2 1160 AUDERGHEM
2017;5/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Rue Louis Marcx, 27 1160 AUDERGHEM
2017;5/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;5/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue des Volontaires, 51 1160 AUDERGHEM
2017;5/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Chauss‚e de Watermael, 53 1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1; , 1160 AUDERGHEM
2017;6/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1 + 23.2.1ø;Jean Vanhaelenlaan, 2 , 1160 OUDERGEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue Ginette Javaux, 14 1160 AUDERGHEM
2017;6/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.3ø;Henri Schoofslaan, 1 1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue du Kouter,  1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue Isidore Geyskens, 30 1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Place Thomas Balis, face 4 1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Place Thomas Balis, face 4 1160 AUDERGHEM
2017;6/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;25.1.3ø;AmblŠvestraat, 24 1160 AUDERGHEM
2017;6/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.3ø;Rue de la Vignette, 25 1160 AUDERGHEM
2017;8/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue Isidore Geyskens, 29 1160 AUDERGHEM
2017;8/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.3ø;Boulevard du Triomphe, 140 1160 AUDERGHEM
2017;8/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.3ø;Avenue Jules G‚nicot, 2 1160 AUDERGHEM
2017;9/01/2017;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Vorstlaan, 175 , 1160 OUDERGEM
2017;9/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 165 , 1160 AUDERGHEM
2017;9/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Boulevard du Souverain, 262 , 1160 AUDERGHEM
2017;9/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Boulevard du Souverain, 262 , 1160 AUDERGHEM
2017;9/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue Gustave Demey, 57 , 1160 AUDERGHEM
2017;9/01/2017;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue Gustave Demey, 57 , 1160 AUDERGHEM
