Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;175,00 ?;01-01-20;Administrative;Fran‡ais;AUDERGHEM-RGP;5;Avenue Guillaume Van Nerom 15, 1160 AUDERGHEM
2020;175,00 ?;01-01-20;Administrative;Fran‡ais;AUDERGHEM-RGP;5;Avenue Guillaume Van Nerom 15, 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;02-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;175,00 ?;02-01-20;Administrative;N‚erlandais;Code de la route;5 + 37;Vorstlaan 240, 1160 OUDERGEM
2020;58,00 ?;04-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Avenue Charles Michiels F152, 1160 AUDERGHEM
2020;116,00 ?;06-01-20;Stationnement;Fran‡ais;Code de la route;24.al.1.4ø;Ernest Claeslaan 2, 1160 OUDERGEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre 1745, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue des Trois Ponts 22, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;25.1.9ø;Tweekloosterdreef 1, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;25.1.9ø;DrŠve des Deux Moutiers, 2 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Square du Sacr‚-Coeur, 2 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Square du Sacr‚-Coeur, 2 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue Jean Van Horenbeeck F 170, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue Jean Van Horenbeeck 196, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Jean Van Horenbeecklaan, 196 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue Jean Van Horenbeeck, 196 1160 AUDERGHEM
2020;116,00 ?;06-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1;Mezengaarde, 20 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre F1489, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre 1412, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre 1634, 1160 AUDERGHEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;Code de la route;70.2.1.1ø;Rue Emile Idiers F1, 1160 AUDERGHEM
2020;116,00 ?;06-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.1;Henri de BrouckŠrelaan F105, 1160 OUDERGEM
2020;58,00 ?;06-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Chauss‚e de Wavre 1414, 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Place de l'Amiti‚, 2 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;G. E. Lebonlaan, F2 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue G. E. Lebon, F2 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue du Paepedelle 31, 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue Charles Schaller, 54 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1.7ø;Vrijwilligerslaan,  1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.7ø;Avenue des Volontaires, 73 1160 AUDERGHEM
2020;116,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue du Paepedelle, 93 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 8 1160 AUDERGHEM
2020;58,00 ?;07-01-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Rue de l'AmblŠve 47, 1160 AUDERGHEM
