Année faits;Montant total;Date faits;Catégorie;Langue;Règlement;Infractions;Lieu
2017;0,00;1-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Léon Houyouxlaan, 2 1160 AUDERGHEM
2017;0,00;1-01-2017;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Avenue de l'Eglise St-Julien, 25 1160 AUDERGHEM
2017;0,00;2-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue du Docteur, 67 1160 AUDERGHEM
2017;0,00;2-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Dokterstraat, 67 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;Code de la route;70.2.1.1°;Avenue des Volontaires, 101 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre, 1604 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Waverse steenweg, 1468 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Waverse steenweg, 1468 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre, 1468 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre, 1468 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.5;Place Thomas Balis, F 4 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue Gustave Jean Leclercq, 23 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Chaussée de Watermael, 53 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 60 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F 1850 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F1850  1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Waverse steenweg, F 1850 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 149 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 147A 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue Edouard Henrard, 2 1160 AUDERGHEM
2017;0,00;3-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;77.4;Driebruggenstraat, 24 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue Emile Idiers, 14 , 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;25.1.5°;Rue Emile Idiers, 14 , 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.5;Place Thomas Balis, 3 , 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Thomas Balisplein, 3 , 1160 OUDERGEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Allée des Colzas, 71 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;24.al.1.4°;Watermaalse Steenweg, 53 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Chaussée de Watermael,  1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 56 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue des Meuniers, 66 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue du Paepedelle,  1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue Jules-Emile Raymond, 8 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue Gustave Jean Leclercq, 10 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Rue Valduc, 280 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Allée des Colzas, 64 1160 AUDERGHEM
2017;0,00;4-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue Charles Madoux, 2 1160 AUDERGHEM
2017;0,00;5-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue Louis Marcx, 27 1160 AUDERGHEM
2017;0,00;5-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue du Paepedelle, 93 1160 AUDERGHEM
2017;0,00;5-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue des Volontaires, 51 1160 AUDERGHEM
2017;0,00;5-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Chaussée de Watermael, 53 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1; , 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;24.al.1 + 23.2.1°;Jean Vanhaelenlaan, 2 , 1160 OUDERGEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue Ginette Javaux, 14 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.3°;Henri Schoofslaan, 1 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue du Kouter,  1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue Isidore Geyskens, 30 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Place Thomas Balis, face 4 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;77.5;Place Thomas Balis, face 4 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;25.1.3°;Amblèvestraat, 24 1160 AUDERGHEM
2017;0,00;6-01-2017;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Rue de la Vignette, 25 1160 AUDERGHEM
2017;0,00;8-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue Isidore Geyskens, 29 1160 AUDERGHEM
2017;0,00;8-01-2017;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Boulevard du Triomphe, 140 1160 AUDERGHEM
2017;0,00;8-01-2017;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Avenue Jules Génicot, 2 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Vorstlaan, 175 , 1160 OUDERGEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 165 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Boulevard du Souverain, 262 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Boulevard du Souverain, 262 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue Gustave Demey, 57 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue Gustave Demey, 57 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue Gustave Demey, 57 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Avenue des Nénuphars, f30 , 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue des Volontaires, 51 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.3°;Vorstlaan, 91 1160 AUDERGHEM
2017;0,00;9-01-2017;Stationnement;Français;AUDERGHEM-RGP;24.1;Chaussée de Wavre, 1705 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.2.1°;Avenue F. E. Van Elderen, 1 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;23.1.1°;Dorpelingstraat, t94 , 1160 OUDERGEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Rue du Villageois, 79 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Rue du Villageois, 75 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Rue du Villageois, 75 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Dorpelingstraat, t58 , 1160 OUDERGEM
2017;0,00;10-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Waverse steenweg, 1745 , 1160 OUDERGEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre, 1745 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre, 1745 , 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue Valduc, 352 1160 AUDERGHEM
2017;0,00;10-01-2017;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.2°;Henri Vandersaenenstraat, 13 1160 AUDERGHEM
