Année faits;Montant total;Date faits;Catégorie;Langue;Règlement;Infractions;Lieu
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue des Meuniers, 106 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.2°;Mulderslaan, 150 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue des Meuniers, 152 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue Jean Colin, 36 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue Léon Houyoux, 2 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue Léon Houyoux, 2 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue du Paepedelle, 93 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle 42, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle 42, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle 42, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle 36, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle 36, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.2°;Papedelle, 26 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.2°;Papedelle, 26 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Rue Jules-Emile Raymond,  1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Rue Jules-Emile Raymond , 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue du Paepedelle, 22 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;24.al.1;Drève de Nivelles, 184 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue de l'Amblève, F 47 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Place de l'Amitié,  1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;77.5;Place de l'Amitié, F 12 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Rue du Houyoux,  1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue des Volontaires , 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;77.4;Rue des Trois Ponts 51, 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Rue Valduc 280, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue des Paradisiers,  1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Rue Valduc,  1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue des Paradisiers, F 21 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue des Paradisiers F 21, 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Allée des Colzas, 40 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Chaussée de Watermael, 54 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue du Docteur, F 46 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;70.2.1.2°;Avenue Jolé, 2 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Boulevard du Souverain, 147 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Charles Michielslaan, 152 1160 AUDERGHEM
2018;110,00 ;02-01-18;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Rue de la Vignette, 242 1160 AUDERGHEM
2018;55,00 ;02-01-18;Stationnement;Néerlandais;AUDERGHEM-RGP;77.4;Dorpelingstraat, F 92 1160 AUDERGHEM
