Année faits;Montant total;Date faits;Catégorie;Langue;Règlement;Infractions;Lieu
2019;116,00 €;01-01-19;Stationnement;Français;AUDERGHEM-RGP;24.1;Boulevard du Triomphe 117, 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Avenue Daniel Boon 33, 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Avenue de Beaulieu 31, 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Avenue de Beaulieu, 33 1160 AUDERGHEM
2019;116,00 €;03-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Rue Edouard Henrard , 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat, 9 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat, 9 1160 AUDERGHEM
2019;58,00 €;03-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;24.al.1.7°;Edouard Henrardstraat,  1160 AUDERGHEM
2019;58,00 €;04-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue Jolé,  1160 AUDERGHEM
2019;58,00 €;04-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue des Frères Goemaere,  1160 AUDERGHEM
2019;58,00 €;06-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.3°;Avenue Guillaume Detroch, 4 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat 11, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue Jean Van Horenbeeck, 196 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue Jean Van Horenbeeck 196, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Avenue Jean Van Horenbeeck, F 198 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;116,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue Jean Van Horenbeeck 196, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx 11, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;25.1.10°;Jules Cockxstraat 11, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;25.1.10°;Rue Jules Cockx, 11 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;77.5;Jules Cockxstraat 9, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue G. E. Lebon,  1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Waverse steenweg 1745, 1160 OUDERGEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1° + 23.1.1°;Chaussée de Wavre 1561, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue Guillaume Poels 24, 1160 AUDERGHEM
2019;116,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;77.4 + 24.al.1.4°;Chaussée de Wavre 1422, 1160 AUDERGHEM
2019;350,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;44;Herdersstaflaan F78, 1160 OUDERGEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue Valduc 239, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Avenue de la Houlette Face au numéro 78, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Rue Emile Idiers Face au numéro 1, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Administrative;Néerlandais;AUDERGHEM-RGP;44;Joseph Chaudronlaan 47, 1160 OUDERGEM
2019;58,00 €;07-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;70.2.1.1°;Waterleliënlaan 45, 1160 OUDERGEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue des Nénuphars 4-6, 1160 AUDERGHEM
2019;116,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Clos des Pommiers Fleuris F67, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre 1721, 1160 AUDERGHEM
2019;58,00 €;07-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Chaussée de Wavre 1721, 1160 AUDERGHEM
2019;350,00 €;07-01-19;Administrative;Français;AUDERGHEM-RGP;44;Avenue de la Houlette 37, 1160 AUDERGHEM
2019;116,00 €;08-01-19;Stationnement;Néerlandais;AUDERGHEM-RGP;24.al.1;Papiermolenstraat 55, 1160 OUDERGEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue du Paepedelle , 1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Place de l'Amitié, F12 1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue Guillaume Van Nerom,  1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Avenue F. E. Van Elderen 50, 1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;77.5;Avenue F. E. Van Elderen, 50 1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue des Frères Goemaere, 52 1160 AUDERGHEM
2019;58,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;70.2.1.1°;Avenue F. E. Van Elderen, 48 1160 AUDERGHEM
2019;116,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue Jean Van Horenbeeck, 41 1160 AUDERGHEM
2019;116,00 €;08-01-19;Stationnement;Français;AUDERGHEM-RGP;24.1;Rue Henri-François Moreels F5, 1160 AUDERGHEM
2019;116,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.4°;Avenue du Grand Forestier,  1160 AUDERGHEM
2019;116,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue F.-B. Verboven 14, 1160 AUDERGHEM
2019;116,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue du Kouter 8, 1160 AUDERGHEM
2019;58,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1.7°;Avenue Guillaume Poels 24, 1160 AUDERGHEM
2019;116,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;24.al.1;Avenue du Kouter 1, 1160 AUDERGHEM
2019;58,00 €;09-01-19;Stationnement;Français;AUDERGHEM-RGP;23.1.1°;Rue des Pcheries Face au numéro 105, 1160 AUDERGHEM
